lemma,collocate,LogL,LR,MI,LogDice
saepe,audio,12.3,3.05096917497245,2.67157510701243,9.84424680964926
saepe,iam,21.23,2.96684593750256,2.61404367904448,10.0151396706196
saepe,multus,27.95,2.94230882824664,2.59725457241769,10.0755544745733
saepe,fortuna,6.63,2.84184168256121,2.52847426337175,9.52645825649035
saepe,quaero,8.72,2.81600167762595,2.51077468627235,9.65619457814632
saepe,dico,22.8,2.44767901480971,2.25811164012015,9.81677614830387
saepe,enim,14.56,2.32611018366289,2.1745809623949,9.68177141993597
saepe,qua,8.91,1.84728376762946,1.84504678549979,9.39170968667566
saepe,etiam,6.04,1.73844853334078,1.77004479072139,9.27704677835553
saepe,facio,6.29,1.62549234402755,1.69216955143551,9.24210872699424
saepe,qui,8.54,0.934997439345212,1.21551893934271,8.91487585391301
