lemma,collocate,LogL,LR,MI,LogDice
studium,significo,17.28,5.62114049602804,4.46439794722639,10.1427852310668
studium,officium,11.08,4.03617799530688,3.41579607913294,9.9056554377779
studium,superus,31.45,3.88038332269946,3.31043556347512,10.439901335752
studium,uester,5.46,2.50712423573638,2.37283504501421,9.43738942843071
studium,suus,17.84,2.47417664302904,2.35020155949351,9.76952326345332
studium,tantus,6.15,2.25343837250353,2.19845153784112,9.43305102683211
studium,etiam,12.05,2.22340957706291,2.17779352622069,9.58795956952247
studium,atque,16.47,1.90968699199926,1.96179172033899,9.47665983225954
studium,de,8.14,1.74980262629584,1.85159695217769,9.31440256489929
studium,hic,7.59,1.21149435114371,1.48014243024482,9.03167590397547
studium,et,10.44,1.09600049124313,1.40037294118102,8.9786971692535
