lemma,collocate,LogL,LR,MI,LogDice
sui,suum,45.99,5.34030974710726,3.8451271393935,9.38268168007626
sui,purgo,14.32,5.04485386358109,3.69559540542253,8.29455224602474
sui,circum,28.09,4.96685135157982,3.65477341090228,8.98051509062676
sui,occulto,13.31,4.7553472463861,3.54144472559528,8.29344359846107
sui,prae,17.59,4.72292576869373,3.52374514849587,8.57835941741996
sui,inter,253.91,4.70643764590516,3.51471166339821,11.1187695133608
sui,conscius,14.96,4.17038474566495,3.21008758964083,8.57449947328367
sui,erigo,10.77,4.04485386358109,3.13597961748711,8.28957298262513
sui,cohortor,9.97,3.82246144224464,3.00244822486259,8.2879187225291
sui,simulo,9.73,3.7553472463861,2.96162623034233,8.28736791006682
sui,ultro,9.73,3.7553472463861,2.96162623034233,8.28736791006682
sui,uindico,8.3,3.35679786989583,2.71476615241081,8.28352069454939
sui,iacto,13.72,3.3370346150744,2.70234363241225,8.78235053651942
sui,conuerto,10.84,3.30788826941488,2.68399449374405,8.56464178119117
sui,molestus,10.51,3.23749894152348,2.63954273117322,8.56355245646471
sui,contentus,13.05,3.22382400462641,2.63088466843011,8.78018486160692
sui,similis,20.85,3.22042542816454,2.628731815069,9.23143626710347
sui,quisque,46.8,3.2147788650234,2.62515399372112,9.98211660387238
sui,reuertor,12.74,3.17038474566495,2.59698311675442,8.77910378042055
sui,circa,7.35,3.08549584807843,2.54291589548415,8.28023482083719
sui,recipio,24.29,3.06910140982777,2.53244459561685,9.43617277754629
sui,confirmo,14.27,3.02495430614338,2.50420138330346,8.95121293993937
sui,custos,7.07,3.00532549939445,2.4916226010966,8.27914192455354
sui,onus,6.93,2.96685135157982,2.46692998850623,8.27859592399398
sui,obses,8.7,2.84845665077758,2.3906466837566,8.55650062360747
sui,colligo,6.43,2.82246144224464,2.37383956544021,8.27641489804762
sui,desiderium,5.99,2.69121690896639,2.28868175709991,8.27423861862502
sui,per,71.09,2.67303689290137,2.27684729945291,10.4992925163582
sui,fuga,9.24,2.55942703641085,2.20269130924439,8.76355803717005
sui,nego,14.63,2.54235352305191,2.19151800864626,9.2047261167759
