lemma,collocate,LogL,LR,MI,LogDice
superus,artificium,21.47,6.76823947261589,5.0658273885323,9.7903445912669
superus,turpitudo,17.48,5.70410913519617,4.44678818012607,9.76107420896679
superus,iugum,17.02,5.58381490147846,4.37268020797235,9.7562780367033
superus,magistratus,11.61,4.18327697189473,3.47077821355029,9.66270925916751
superus,bonum,33.38,4.05774608981087,3.38739660461124,10.4687494900896
superus,religio,14.04,3.90124160413088,3.283036589287,9.86283544059497
superus,studium,26.71,3.76619164396703,3.19265252781873,10.3221183000956
superus,cum3,12.97,3.68851228014515,3.14053652667972,9.82946629942035
superus,uir,47.03,3.60415534976263,3.08384118300317,10.60102731336
superus,locus,48.93,3.54204625152683,3.04203542057278,10.604024562319
superus,imperator,12.09,3.51342557358706,3.02275349102333,9.79904570271964
superus,auctoritas,13.49,3.25039116775327,2.84507231378588,9.8973566349632
superus,honor,10.71,3.23331765439432,2.83351149138481,9.74438729018178
superus,laus,7.28,3.02799874641682,2.6942494240513,9.50019032966973
superus,dignitas,6.81,2.89675421313856,2.60501829032336,9.47459478248077
superus,annus,6.05,2.68077663136555,2.45786064598707,9.42873136568759
superus,periculum,7.87,2.63708404133815,2.42804638327664,9.60093189947127
superus,littera,7.61,2.58201265884447,2.39044796971963,9.58568770182815
superus,consilium,8.17,2.34258486596301,2.22674892502368,9.63181877214817
superus,dies,10.94,2.27763600394415,2.18228159570653,9.75764602597272
superus,uirtus,5.06,1.9988524007573,1.99115191263818,9.4023580804327
superus,homo,6.45,1.65078189106771,1.75201251023256,9.47821142295096
superus,de,7.24,1.43228076013054,1.60165520770875,9.45617344425296
superus,in,18.12,1.24316362390459,1.47139353272386,9.48896880492577
superus,cum,7.59,1.12405543485864,1.38930070238536,9.35200981682898
superus,ad,5.53,1.05774608981087,1.34358224057456,9.28597540909983
