lemma,collocate,LogL,LR,MI,LogDice
tam,atrox,21.96,6.92353936630098,4.94780018244374,9.53026778490701
tam,amens,26.85,6.4210390257718,4.6758664669601,9.80092011751399
tam,demens,26.44,6.33857686557982,4.6293464513252,9.79904570271964
tam,uehemens,26.44,6.33857686557982,4.6293464513252,9.79904570271964
tam,immanis,17.43,5.70114694496453,4.25465300188379,9.50762530815725
tam,exiguus,15.84,5.28610944568569,3.99871962774659,9.49465014929412
tam,stultus,18.96,4.86464567724741,3.73140485811925,9.74084746347665
tam,longus,28.76,4.3733422837405,3.41247024216336,10.1744690259253
tam,ualde,11.89,4.26057435357855,3.33836227000964,9.44262047784826
tam,familiaris,15.67,4.22309964815989,3.31366965741927,9.69256222231719
tam,breuis,11.61,4.18657377213477,3.28957210584021,9.43738942843071
tam,longe,18.15,3.99753994774476,3.1644089628862,9.85527923045283
tam,tot,14.37,3.9693430559141,3.14567792618014,9.66762327396994
tam,carus,10.76,3.96418135079832,3.14224739108335,9.4201476219962
tam,clarus,17.6,3.9115667246349,3.10725054904625,9.84424680964926
tam,praeclarus,9.96,3.75361436485867,3.00189003338843,9.40151880216271
tam,improbus,9.76,3.70114694496453,2.96679871357715,9.3964978711126
tam,diu,12.95,3.68832290460695,2.95821496988576,9.6353102849794
tam,cur,12.06,3.50850186702213,2.83758698209715,9.61174281557548
tam,umquam,6.27,2.74473621351221,2.3207190438752,9.27261218128766
tam,grauis,8.1,2.68832290460695,2.28230959576032,9.47009229851245
tam,nemo,10.08,2.68068284240482,2.2771057678853,9.61672414592569
tam,uero,9.49,2.57776452945925,2.20696015851854,9.59084469793786
tam,multus,28.16,2.56052407937042,2.19520160508046,10.1198117180919
tam,numquam,7.4,2.53695831307136,2.17912535952509,9.43695474031258
tam,nihil,17.96,2.34222464259497,2.04612886929364,9.91097257905552
tam,iste,16.17,2.3285927770072,2.03680913734484,9.86723632787395
tam,non,47.77,1.90063030583009,1.74366663931274,9.98339727145809
tam,tantus,5.34,1.80252396533961,1.67633190745637,9.35657110189482
tam,magnus,11.58,1.7880243956445,1.66637645276428,9.66270925916751
