lemma,collocate,LogL,LR,MI,LogDice
tantus,facinus,48.33,5.36240599977541,4.09572395013374,10.4785534901863
tantus,multitudo,69.46,5.34127828895306,4.08267623474127,10.7857502435206
tantus,motus,19.07,4.89045246088344,3.79969268307104,9.72333388098394
tantus,scelus,62.01,4.62741805504964,3.63106997063525,10.7391599760328
tantus,opus,26.89,4.16729266624226,3.33114784328896,10.1407751801388
tantus,praesertim,15.2,4.13437804376953,3.30948634650778,9.67091275062034
tantus,negotium,8.68,3.41267920625663,2.8291199302265,9.35560910085863
tantus,religio,7.94,3.2123805557708,2.69430070741755,9.33342118588326
tantus,uis,21.08,3.20239646719818,2.68756667523621,10.0572053359051
tantus,periculum,18.43,3.20097579249855,2.68660836179439,9.96955923975738
tantus,malus,7.35,3.04840482065967,2.58354934312485,9.31324982701949
tantus,umquam,9.77,3.04245555432849,2.57952519282512,9.53841154248993
tantus,malum,9.08,2.89848977994886,2.48202682834024,9.51417657164447
tantus,uoluptas,6.67,2.8587436011561,2.45507101835172,9.28747129569141
tantus,uitium,6.59,2.8379850409893,2.44098627846998,9.28448175684304
tantus,praesidium,6.42,2.78735896791933,2.40661863496577,9.27704677835553
tantus,laus,6.35,2.76759571309791,2.39319561463363,9.27408819631578
tantus,auctoritas,7.97,2.66120636850593,2.320874953054,9.47009229851245
tantus,bellum,16.78,2.54941554304837,2.24477560951535,9.93477914949987
tantus,quantus,8.87,2.47061397534077,2.19107143054349,9.5775514508272
tantus,uirtus,6.66,2.06398871587813,1.91324165453472,9.46632581571698
tantus,res,33.22,2.01128291279758,1.87715285459035,10.0483865273008
tantus,causa,6.07,1.74568093666946,1.69506089256264,9.45493373808161
tantus,in,54.51,1.74353446792181,1.69358786707074,9.9889699528862
tantus,nec,5.42,1.63187770324034,1.61693352736318,9.41248474925063
tantus,ne,9.71,1.60931624867433,1.6014379212407,9.62882751359013
tantus,quod,6.94,1.59277191224275,1.59007358086511,9.51417657164447
tantus,ego,5.99,0.952591145773911,1.14954971080876,9.37301076661727
tantus,sum,11.66,0.743173596969506,1.00517198033806,9.34375288918441
