lemma,collocate,LogL,LR,MI,LogDice
tu,Terentia,24.15,5.15503210550037,3.58202745704464,8.46898486933294
tu,oro,50.84,4.62957061652788,3.31806191121018,9.33107284820916
tu,Maecenas,10.41,3.97060753436294,2.95341879762227,7.95736716631762
tu,mando,27.09,3.90021820647155,2.91259680310202,8.92560774010099
tu,erga,16.69,3.8595762219742,2.8888802764847,8.46266573298146
tu,obsecro,9.77,3.79003528872112,2.84805828196444,7.95657571396131
tu,dissimilis,8.69,3.4851807071927,2.66573672517049,7.95499468596399
tu,quaeso,10.28,3.20507278799997,2.49388646824383,8.23716276256248
tu,inuito,7.43,3.122610627808,2.44259317385628,7.95262782095372
tu,scilicet,7.24,3.07014320791386,2.40980335103329,7.95223388752338
tu,amo,28.62,3.04460811580672,2.39380300968685,9.30179494804472
tu,requiro,9.54,3.04460811580672,2.39380300968685,8.23559290352736
tu,scribo,90.11,3.0326685024952,2.38631233795769,10.3548249801208
tu,quotiens,7.07,3.01951713484389,2.37805465271871,7.95184010921547
tu,parens,12.43,2.76897367319329,2.21944962254207,8.62819985669216
tu,saluus,8.28,2.76897367319329,2.21944962254207,8.23246055954105
tu,impetro,6.14,2.7482151130265,2.20620439579205,7.9494806901107
tu,hic2,22.43,2.74073999246435,2.20143111703939,9.20948253630142
tu,persuadeo,6.01,2.70757312852915,2.18022890938879,7.9490879942486
tu,promitto,5.74,2.62957061652788,2.13021848881413,7.94830306485194
tu,moneo,7.62,2.62011028727881,2.12413944273774,8.23050781531576
tu,cito,5.5,2.5555700350841,2.08259043982487,7.94751875108624
tu,uere,5.5,2.5555700350841,2.08259043982487,7.94751875108624
tu,appareo,5.38,2.51994612535338,2.05960092160017,7.94712682476338
tu,excito,7.14,2.51117591572565,2.0539351840645,8.2289483608087
tu,placeo,15.91,2.49667634603053,2.04456304423563,9.01108027281389
tu,apud,33.47,2.49061459324333,2.04064300785556,9.70307269584412
tu,arcesso,5.27,2.4851807071927,2.03712806574812,7.94673505198657
tu,auctor,8.78,2.4851807071927,2.03712806574812,8.4458782998982
tu,suspicor,5.27,2.4851807071927,2.03712806574812,7.94673505198657
