lemma,collocate,LogL,LR,MI,LogDice
tum,demum,34.39,6.55124327294282,4.82958321317239,10.1163764690936
tum,uersus,44.46,4.6347666285051,3.66020185361607,10.5627921808148
tum,denique,33.92,4.47442767589199,3.55561803702642,10.369014524305
tum,uero,47.85,4.03736387028315,3.26739818558883,10.6104081644582
tum,casus,9.32,3.58161692198634,2.96292243577121,9.46740050684674
tum,etiam,87.42,3.4274667323044,2.85921276654691,10.7567568186835
tum,religio,8.57,3.38131827150051,2.82810321296226,9.44262047784826
tum,quintus,5.63,2.55877694562823,2.26977525521127,9.3071242335928
tum,primum,7.44,2.54561872374894,2.26079507940369,9.49741640278701
tum,soleo,5.12,2.40828531910078,2.16699538614694,9.27556639318509
tum,uita,7.32,2.18667084064696,2.01537281624179,9.52493849935893
tum,iam,11.22,2.12917850677001,1.97599070677952,9.72073309928389
tum,magis,6.93,2.11494815310346,1.96624012766414,9.50130205852243
tum,cum,26.12,1.73795539513148,1.7075572142941,9.81648293616278
tum,ille,9.47,1.23143834994843,1.35907928373464,9.4573311958412
