lemma,collocate,LogL,LR,MI,LogDice
tuus,clementia,70.95,7.67270678852738,5.11538707948076,10.1059146952585
tuus,patruus,33.46,6.53520326477745,4.64538345023502,9.52039303698725
tuus,commendatio,19.13,6.25766928924854,4.50925127591044,9.01525247685587
tuus,necessarius2,17.99,5.93574119436117,4.34219719124727,9.01297457154288
tuus,epistula,99.09,5.29127768189136,3.98228861474148,10.7459602626741
tuus,auus,25.43,5.18727996135714,3.92146461100832,9.50130205852243
tuus,liberalitas,14.89,5.08774428780622,3.86262411098539,9.00391448691848
tuus,misericordia,19.28,4.97226707038629,3.79363123949844,9.28150112870491
tuus,soror,32.81,4.86535186646978,3.72909271836087,9.81251210605867
tuus,littera,152.88,4.82228314457789,3.70292300062748,11.1535062482759
tuus,reditus,17.78,4.67270678852738,3.61130968270448,9.27482702161721
tuus,numen,11.95,4.30347297886166,3.38078602409265,8.98936470590374
tuus,familiaris,27.42,4.2512430200891,3.34772516183176,9.78470282736024
tuus,hospes,15.48,4.21327516989008,3.3236276102527,9.26161097022569
tuus,humanitas,14.85,4.08774428780622,3.24358490257916,9.25724415105935
tuus,cogitatio,14.7,4.05799694441217,3.22453670760847,9.25615541932415
tuus,pudor,10.18,3.83140453454644,3.07850515221972,8.97611947915372
tuus,aduentus,11.95,3.50278178708507,2.86409528087426,9.23143626710347
tuus,gaudeo,8.4,3.35077869364002,2.76401182231728,8.95765073041422
tuus,commoueo,7.52,3.10792216974385,2.60308145550464,8.94587959396401
tuus,parens,7.45,3.08774428780622,2.5896584351725,8.94481632964268
tuus,fortuna,24.7,3.07577164614015,2.58169026552332,9.97643561983895
tuus,mater,9.86,3.07279394634025,2.57970810431933,9.20524304622654
tuus,liberi,7.31,3.04821592361959,2.56334112685513,8.9426931865946
tuus,dignus,9.39,2.97226707038629,2.51269739403637,9.1980302380373
tuus,puer,8.94,2.87829092217727,2.44989649279734,9.19086908211447
tuus,amor,8.76,2.83981677436264,2.42414399669493,9.18781564462758
tuus,amicus,21.04,2.76581619291886,2.37454705555556,9.92585814509542
tuus,negotium,6.1,2.7030804375709,2.33243557020543,8.92170605742993
tuus,scelus,11.73,2.63561746979216,2.28708775022697,9.51042773876295
