lemma,collocate,LogL,LR,MI,LogDice
uideo,indignus,16.67,4.49850495917131,3.41579607913294,8.77694511795251
uideo,plerique,10.11,3.84245936038867,3.01891471471617,8.4872435227679
uideo,mirus,13.41,3.82865356086364,3.01033097102478,8.76822315726021
uideo,quanto,12.84,3.71000906436503,2.93622299887106,8.76622115458953
uideo,quaeso,8.56,3.4136160615848,2.74862438497626,8.48120931069363
uideo,senex2,8.13,3.29497156508618,2.67263847799834,8.47920597112546
uideo,numquam,23.06,2.61808657492399,2.23124136066411,9.73205233202383
uideo,tristis,5.74,2.61216174096688,2.22732746134297,8.46397893080642
uideo,postea,7.37,2.54854564167091,2.18525624742228,8.73536869110677
uideo,dominus,5.51,2.54289907852977,2.18151792531168,8.46200978018654
uideo,incredibilis,5.36,2.49850495917131,2.15210404010538,8.46069916400942
uideo,commoueo,5.01,2.39315195902508,2.08214545149847,8.45743011892752
uideo,contemno,6.1,2.25749685966752,1.9917613900302,8.72316166512909
uideo,fugio,6.84,2.10993967125366,1.89308986252317,8.92046072725653
uideo,quia,6.92,1.89904288875504,1.75148155647301,9.06792702840685
uideo,tollo,5.46,1.83692117684724,1.70965036262788,8.90196451562291
uideo,ubi,8.47,1.80311846875651,1.6868671886973,9.30464638995393
uideo,primum,7.23,1.77660681309405,1.66898799776715,9.18955932423241
uideo,nisi,10.32,1.77603893470022,1.66860492938476,9.48311472887948
uideo,quantus,7.97,1.73876805734645,1.64345469576199,9.29724948567305
uideo,ne,29.87,1.7038985298557,1.61990948890024,10.2365518503886
uideo,qua,23.83,1.51942192669933,1.49510981930158,10.1609061745946
uideo,sic,5.71,1.4265551172923,1.43214560209478,9.25724415105935
uideo,ego,43.73,1.41727730370429,1.4258503877704,10.4295590382427
uideo,homo,9.81,1.26240121013854,1.32064153178855,9.76163997984468
uideo,non,43.31,1.25312284406571,1.31433162536567,10.4117408521211
uideo,sum,80.65,1.10347315169552,1.21245763030323,10.4870220772501
uideo,enim,7.89,1.07937470525859,1.19603533677431,9.74557002243083
uideo,cum,14.27,0.912549208813067,1.08222744061893,10.0861604636455
uideo,ut,11.13,0.827648548603643,1.02423156577941,10.0239721524009
