lemma,collocate,LogL,LR,MI,LogDice
uita,nex,25.97,6.23877582866234,4.74757347757628,9.99039666623299
uita,beatus,62.56,6.04974200427232,4.63722542040742,10.8136473668374
uita,communis,13.42,3.77934421002504,3.18942885952973,9.8046795204379
uita,amitto,9.24,3.5607039235497,3.04282538533785,9.54565270374649
uita,libertas,6.95,2.93621305864191,2.62066539865752,9.4496380505069
uita,periculum,11.26,2.88263201843706,2.58425045191574,9.78343780505365
uita,reliquus,5.69,2.57581081593991,2.37525504656756,9.3783005120607
uita,ago,15.1,2.569182077474,2.37073161397574,9.93311228401094
uita,inter,7.07,2.46267184058917,2.29800619423359,9.53552969611505
uita,pro,5.47,2.09717955027852,2.04789152614459,9.42786966809011
uita,tum,6.59,2.04974200427232,2.01537281624179,9.52493849935893
uita,suus,12.69,1.88956497938157,1.90548696083958,9.74567761294145
uita,tuus,8.65,1.81587008605015,1.85488957992174,9.61563235762415
uita,iste,5.45,1.63589141994392,1.73122191681955,9.43565180853216
uita,ex,9.85,1.62246090923873,1.72198824087261,9.60836062520366
