lemma,collocate,LogL,LR,MI,LogDice
uiuo,beate,107.9,11.6514390151691,6.87049026259626,11.3451943134166
uiuo,quoad,28.55,6.67415909166923,4.99171941637857,10.4554240354925
uiuo,incipio,15.49,5.15958591883947,4.02663852033499,10.0616596862545
uiuo,bene,33.1,4.82943731714714,3.8075849542723,10.5799341340335
uiuo,natura,32.12,4.28184166889047,3.44017548236338,10.4681399198178
uiuo,tamquam,11.62,4.17165875114004,3.36575220199326,9.88639762117348
uiuo,contra,14.55,3.98966091739716,3.24251956156931,10.0179846227518
uiuo,mos,14.55,3.98966091739716,3.24251956156931,10.0179846227518
uiuo,nolo,10.52,3.88656742443305,3.1725609729624,9.81794985735879
uiuo,sic,23.35,3.75359355916363,3.08217691149414,10.2045108108278
uiuo,dum,8.95,3.47401947717991,2.891658587496,9.70271459378121
uiuo,ita,9.85,2.63602396278246,2.31757076695204,9.58720170665936
uiuo,sed,11.91,1.92385885900141,1.82729977730643,9.32763856447158
uiuo,si,10.74,1.80696861988097,1.74668863403352,9.25593781514529
