lemma,collocate,LogL,LR,MI,LogDice
umquam,nemo,94.34,5.70840311723469,4.56659341437394,11.3454384838488
umquam,nullus,41.13,4.06583502236959,3.46640953965236,10.4537844220739
umquam,ullus,9.58,3.63792990928624,3.17454860612561,9.84111691664033
umquam,uis,12.58,3.60148791331818,3.14963225486108,9.93955698945358
umquam,nec,23.85,3.47024338003993,3.05982835999978,10.065726385637
umquam,nihil,25.39,3.34172863951725,2.97179501051445,10.0161732624429
umquam,tantus,8.51,2.7704931219076,2.57952519282512,9.53841154248993
umquam,neque,10.42,2.73291939684172,2.55367621663773,9.56680507875172
umquam,tam,5.09,2.3946009128,2.3207190438752,9.27261218128766
umquam,enim,9.69,2.32137999412544,2.27025617231826,9.35962355827729
umquam,quis,11.14,1.84696394776767,1.94297848378189,9.11115576295767
umquam,ego,11.1,1.74046432646699,1.86944439973574,9.04737910096437
umquam,sum,8.57,0.981120076465823,1.34463523787061,8.5615426906943
