lemma,collocate,LogL,LR,MI,LogDice
uox,exprimo,23.15,7.11813514116556,5.43355216865761,10.4494252172632
uox,talis,11.41,4.11813514116556,3.49481050908091,9.99874586084391
uox,unus,14.5,3.01330516794513,2.74061560536545,9.82561273010436
uox,audio,6.17,2.70974295552873,2.53213057457486,9.47640146770572
uox,meus,7.62,2.23866000313744,2.20789935951039,9.36721464697894
uox,iste,5.53,2.10690788574231,2.11709601545055,9.25072947003815
uox,magnus,7.74,2.01948374287426,2.05681825917383,9.2696666710579
uox,hic,23.94,1.99051208240979,2.03683850807691,9.35056113456132
uox,quis,5.19,1.34334808156439,1.59007570576458,8.87938985269517
uox,et,12.89,1.30085585338596,1.5607155912562,8.89549856967165
