lemma,collocate,LogL,LR,MI,LogDice
ut,opinor,119.71,5.61949222311338,3.79914899484853,9.83434641007312
ut,supra,29.78,4.71064011117157,3.40589634476987,8.65425393988085
ut,curo,115.24,4.45748543606444,3.28064501450596,10.0470998291597
ut,sancio,15.83,4.44385357047667,3.27372457166138,8.09736666659864
ut,oro,33.45,3.90328518911397,2.9860424992096,9.00177472598043
ut,hortor,32.65,3.83289586122257,2.94682178605632,9.00109996212217
ut,perduco,10.98,3.37972323305696,2.68593790675926,8.09327668134711
ut,efficio,38.28,3.37079010828695,2.68066084965842,9.32317382510547
ut,breuiter,8.02,3.31832268839281,2.64957026258839,7.80763751052513
ut,euenio,13.37,3.31832268839281,2.64957026258839,8.31370283968482
ut,omitto,18.45,3.28437535646948,2.62936755527087,8.64509978204169
ut,ualeo,46.53,3.24032017639154,2.6030502469535,9.56226275831211
ut,spero,45.01,3.16631959494776,2.55859848438266,9.56029425373944
ut,admoneo,12.34,3.13775044275099,2.54135667794816,8.31234690727368
ut,aio,49.36,3.13775044275099,2.54135667794816,9.6597723994942
ut,accido,31.94,3.12799147628866,2.53545695582097,9.2467414288602
ut,aequalis,7.26,3.09593026705637,2.51603886996387,7.80661553802944
ut,resto,9.68,3.09593026705636,2.51603886996387,8.09157744559415
ut,rogo,30.78,3.04913605557742,2.48760093464333,9.24508442765257
ut,instituo,18.25,2.97254785155108,2.44081544872628,8.7722392269151
ut,committo,24.23,2.90328518911397,2.39825583430748,9.08068286443853
ut,reseruo,6.61,2.90328518911397,2.39825583430748,7.80559460889533
ut,exigo,10.62,2.83289586122257,2.35477072236774,8.30964054567594
ut,persuadeo,8.23,2.774002172169,2.31821312663395,8.08920335595947
ut,adduco,18.48,2.76942944237918,2.31536817450171,8.8836709124558
ut,decerno,22.15,2.73336018767166,2.29289531864966,9.07703745857886
ut,mando,10.07,2.73336018767166,2.29289531864966,8.30862754542048
ut,opinio,14.09,2.73336018767166,2.29289531864966,8.63837254510051
ut,quondam,6.04,2.73336018767166,2.29289531864966,7.80457472099458
ut,saluus,10.07,2.73336018767166,2.29289531864966,8.30862754542048
