"lemma","Freq","NormFreq"
"_",3088,107.039734341799
"a",1,0.0346631264060231
"ab",2046,70.9207566267232
"abacus",2,0.0693262528120461
"abalenatus",1,0.0346631264060231
"abalieno",2,0.0693262528120461
"Abas",1,0.0346631264060231
"abauus",2,0.0693262528120461
"Abdera2",1,0.0346631264060231
"abdico",5,0.173315632030115
"abditus",7,0.242641884842161
"abdo",16,0.554610022496369
"abduco",23,0.79725190733853
"abeo",50,1.73315632030115
"aberro",4,0.138652505624092
"abhorreo",13,0.4506206432783
"Abiathar",1,0.0346631264060231
"abicio",32,1.10922004499274
"abiecte",1,0.0346631264060231
"abiectus",4,0.138652505624092
"abigo",4,0.138652505624092
"abiudico",1,0.0346631264060231
"abiungo",1,0.0346631264060231
"abiuro",2,0.0693262528120461
"ablego",1,0.0346631264060231
"abluo",1,0.0346631264060231
"abnego",1,0.0346631264060231
"abnuo",3,0.103989379218069
"aboleo",1,0.0346631264060231
"abominor",1,0.0346631264060231
"Aborigines",1,0.0346631264060231
"abortiuus",1,0.0346631264060231
"abripio",7,0.242641884842161
"abrogatio",1,0.0346631264060231
"abrogo",14,0.485283769684323
"abrumpo",6,0.207978758436138
"abruptus",1,0.0346631264060231
"abscido",1,0.0346631264060231
"abscindo",2,0.0693262528120461
"absconditus",3,0.103989379218069
"abscondo",6,0.207978758436138
"absens",9,0.311968137654208
"absentia",2,0.0693262528120461
"absimilis",1,0.0346631264060231
"absisto",3,0.103989379218069
"absoluo",39,1.3518619298349
"absolute",1,0.0346631264060231
"absolutio",4,0.138652505624092
"absque",1,0.0346631264060231
"abstergeo",4,0.138652505624092
"absterreo",1,0.0346631264060231
"abstinentia",12,0.415957516872277
"abstineo",13,0.4506206432783
"abstraho",7,0.242641884842161
"abstrudo",1,0.0346631264060231
"absum",141,4.88750082324925
"absumo",3,0.103989379218069
"absurde",1,0.0346631264060231
"absurdus",8,0.277305011248185
"abundans",1,0.0346631264060231
"abundantia",3,0.103989379218069
"abunde",6,0.207978758436138
"abundo",9,0.311968137654208
"abutor",5,0.173315632030115
"Academia",3,0.103989379218069
"Academici",1,0.0346631264060231
"academicus",1,0.0346631264060231
"acanthus",2,0.0693262528120461
"accedo",122,4.22890142153481
"accelero",3,0.103989379218069
"accendo",15,0.519946896090346
"accenseo",1,0.0346631264060231
"acceptum",2,0.0693262528120461
"acceptus",3,0.103989379218069
"accessio",3,0.103989379218069
"accessus",3,0.103989379218069
"accidens",1,0.0346631264060231
"accido",102,3.53563889341435
"accido2",1,0.0346631264060231
"accingo",2,0.0693262528120461
"accio",1,0.0346631264060231
"accipio",262,9.08173911837804
"accipiter",4,0.138652505624092
"accitus",1,0.0346631264060231
"Accius",3,0.103989379218069
"acclamatio",2,0.0693262528120461
"acclamo",1,0.0346631264060231
"accliuis",2,0.0693262528120461
"accliuitas",1,0.0346631264060231
"Acco",2,0.0693262528120461
"accognosco",1,0.0346631264060231
"accola",2,0.0693262528120461
"accolo",1,0.0346631264060231
"accommodatus",5,0.173315632030115
"accommodo",6,0.207978758436138
"accresco",1,0.0346631264060231
"accubitio",1,0.0346631264060231
"accubo",1,0.0346631264060231
"accumbo",4,0.138652505624092
"accurate",7,0.242641884842161
"accuratus",1,0.0346631264060231
"accurro",7,0.242641884842161
"accusatio",24,0.831915033744554
"accusator",42,1.45585130905297
"accusatorie",1,0.0346631264060231
"accusatorius",1,0.0346631264060231
"accuso",56,1.94113507873729
"acer",57,1.97579820514331
"acerbe",7,0.242641884842161
"acerbitas",14,0.485283769684323
"acerbum",1,0.0346631264060231
"acerbus",42,1.45585130905297
"aceruus",7,0.242641884842161
"Acestes",4,0.138652505624092
"acetum",1,0.0346631264060231
"Achaia",4,0.138652505624092
"achaicus",3,0.103989379218069
"Achates",11,0.381294390466254
"Acheron",3,0.103989379218069
"Achilles",16,0.554610022496369
"achiui",2,0.0693262528120461
"achiuus",1,0.0346631264060231
"Achradina",1,0.0346631264060231
"Acidalia",1,0.0346631264060231
"Acidinus",1,0.0346631264060231
"acies",59,2.04512445795536
"acilius",1,0.0346631264060231
"Acilius",5,0.173315632030115
"acinaces",1,0.0346631264060231
"acinus",1,0.0346631264060231
"acquiesco",8,0.277305011248185
"acquiro",8,0.277305011248185
"acrimonia",1,0.0346631264060231
"acriter",27,0.935904412962623
"acroama",2,0.0693262528120461
"Acroceraunia",1,0.0346631264060231
"acta",2,0.0693262528120461
"Actaeon",1,0.0346631264060231
"actio",28,0.970567539368646
"Actium",3,0.103989379218069
"actor",4,0.138652505624092
"actuaria",1,0.0346631264060231
"actuarius2",1,0.0346631264060231
"actum",31,1.07455691858671
"actus",13,0.4506206432783
"aculeus",2,0.0693262528120461
"acuo",7,0.242641884842161
"acus",1,0.0346631264060231
"acute",3,0.103989379218069
"acutilianus",2,0.0693262528120461
"Acutilius",2,0.0693262528120461
"acutus",13,0.4506206432783
"ad",2509,86.9697841527119
"adaequo",6,0.207978758436138
"adamantinus",1,0.0346631264060231
"adamo",3,0.103989379218069
"adaperio",1,0.0346631264060231
"addecet",1,0.0346631264060231
"addico",8,0.277305011248185
"addictio",1,0.0346631264060231
"addisco",3,0.103989379218069
"additamentum",1,0.0346631264060231
"addo",52,1.8024825731132
"addubito",1,0.0346631264060231
"adduco",88,3.05035512373003
"adedo",1,0.0346631264060231
"Adelphi",1,0.0346631264060231
"adeo",29,1.00523066577467
"adeo2",45,1.55984068827104
"adeps",1,0.0346631264060231
"adequito",1,0.0346631264060231
"adfabre",1,0.0346631264060231
"adfectus",8,0.277305011248185
"adflictus",3,0.103989379218069
"adfluens",2,0.0693262528120461
"adhaereo",3,0.103989379218069
"adhaeresco",1,0.0346631264060231
"adhibeo",39,1.3518619298349
"adhortor",11,0.381294390466254
"adhuc",99,3.43164951419628
"adiaceo",1,0.0346631264060231
"Adiatuanus",2,0.0693262528120461
"adicio",32,1.10922004499274
"adiectio",3,0.103989379218069
"adigo",10,0.346631264060231
"adimo",16,0.554610022496369
"adipiscor",32,1.10922004499274
"aditialis",1,0.0346631264060231
"aditus",44,1.52517756186501
"adiudico",3,0.103989379218069
"adiumentum",6,0.207978758436138
"adiunctus",1,0.0346631264060231
