"lemma","Caesar_Freq","Caesar_NormFreq","Cicero_Freq","Cicero_NormFreq","Horatius_Freq","Horatius_NormFreq","Ovidius_Freq","Ovidius_NormFreq","Phaedrus_Freq","Phaedrus_NormFreq","Sallustius_Freq","Sallustius_NormFreq","Seneca_Freq","Seneca_NormFreq","Suetonius_Freq","Suetonius_NormFreq","Tacitus_Freq","Tacitus_NormFreq","Vergilius_Freq","Vergilius_NormFreq","Hieronymus_Freq","Hieronymus_NormFreq","author_DP"
"_",16,6.04275247375179,866,53.9483192544417,1,0.888020602077968,940,1612.90322580645,1091,1656.29269773797,1,0.927557740469344,53,9.89156604020082,104,1146.63726571114,0,0,3,5.79150579150579,13,29.2069197933049,0.64520779336459
"ab",303,114.434624971675,1324,82.4798783982457,25,22.2005150519492,16,27.4536719286205,26,39.4716866555336,66,61.2188108709767,198,36.9533976596181,11,121.278941565601,21,72.0906282183316,25,48.2625482625483,31,69.6472702763424,0.149401729177685
"abditus",1,0.377672029609487,1,0.0622959806633276,0,0,0,0,0,0,1,0.927557740469344,4,0.746533286052892,0,0,0,0,0,0,0,0,0.542263016870544
"abdo",6,2.26603217765692,5,0.311479903316638,1,0.888020602077968,0,0,1,1.5181417944436,0,0,2,0.373266643026446,0,0,0,0,1,1.93050193050193,0,0,0.390896726414342
"abduco",1,0.377672029609487,10,0.622959806633276,0,0,0,0,0,0,1,0.927557740469344,10,1.86633321513223,0,0,1,3.43288705801579,0,0,0,0,0.288542947538262
"abeo",1,0.377672029609487,13,0.809847748623259,4,3.55208240831187,2,3.43170899107756,5,7.59070897221801,1,0.927557740469344,12,2.23959985815868,0,0,0,0,2,3.86100386100386,10,22.4668613794653,0.398819027283347
"abicio",2,0.755344059218974,27,1.68199147790985,1,0.888020602077968,0,0,0,0,0,0,2,0.373266643026446,0,0,0,0,0,0,0,0,0.287323629679955
"abscido",1,0.377672029609487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908218973902132
"absimilis",1,0.377672029609487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908218973902132
"abstineo",1,0.377672029609487,8,0.498367845306621,0,0,0,0,0,0,0,0,3,0.559899964539669,0,0,1,3.43288705801579,0,0,0,0,0.170824686438692
"abstraho",1,0.377672029609487,5,0.311479903316638,0,0,1,1.71585449553878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331590933512657
"absum",28,10.5748168290656,82,5.10827041439286,7,6.21614421454578,1,1.71585449553878,1,1.5181417944436,4,3.71023096187738,16,2.98613314421157,0,0,1,3.43288705801579,1,1.93050193050193,0,0,0.142545690978818
"accedo",12,4.53206435531385,67,4.17383070444295,0,0,0,0,2,3.0362835888872,4,3.71023096187738,30,5.59899964539669,0,0,2,6.86577411603158,3,5.79150579150579,2,4.49337227589306,0.0806483948045996
"acceptus",1,0.377672029609487,1,0.0622959806633276,0,0,0,0,0,0,0,0,1,0.186633321513223,0,0,0,0,0,0,0,0,0.389157142972687
"accido",27,10.1971447994562,47,2.9279110911764,1,0.888020602077968,0,0,1,1.5181417944436,3,2.78267322140803,22,4.10593307329091,0,0,0,0,0,0,1,2.24668613794653,0.202882633168765
"accido2",1,0.377672029609487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908218973902132
"accipio",30,11.3301608882846,165,10.2788368094491,6,5.32812361246781,1,1.71585449553878,7,10.6269925611052,7,6.49290418328541,31,5.78563296690991,0,0,6,20.5973223480947,6,11.5830115830116,3,6.74005841383959,0.117701027147817
"accliuis",2,0.755344059218974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908218973902132
"accliuitas",1,0.377672029609487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908218973902132
"Acco",2,0.755344059218974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908218973902132
"accommodatus",2,0.755344059218974,3,0.186887941989983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351792603582088
"accommodo",1,0.377672029609487,3,0.186887941989983,0,0,0,0,1,1.5181417944436,0,0,1,0.186633321513223,0,0,0,0,0,0,0,0,0.218719705871818
"accurate",1,0.377672029609487,6,0.373775883979966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351792603582087
