"lemma","Prosa histórica_Freq","Prosa histórica_NormFreq","Prosa filosófica_Freq","Prosa filosófica_NormFreq","Prosa oratória_Freq","Prosa oratória_NormFreq","Prosa epistolográfica_Freq","Prosa epistolográfica_NormFreq","Poesia lírica_Freq","Poesia lírica_NormFreq","Poesia didática_Freq","Poesia didática_NormFreq","Poesia trágica_Freq","Poesia trágica_NormFreq","Poesia épica_Freq","Poesia épica_NormFreq","Prosa ficcional_Freq","Prosa ficcional_NormFreq","genre_DP"
"_",121,29.4554395189756,62,10.2139997693613,62,5.95278100486784,791,209.597498608866,4,3.36502061075124,2028,1720.2476885232,4,3.47463516330785,3,5.79150579150579,13,29.2069197933049,0.741209068572518
"ab",401,97.616787166192,324,53.376385891501,892,85.6432363926147,295,78.1684729325101,27,22.7138891225709,40,33.9299346848757,11,9.55524669909659,25,48.2625482625483,31,69.6472702763424,0.141913892436551
"abdico",1,0.243433384454344,0,0,4,0.384050387410828,0,0,0,0,0,0,0,0,0,0,0,0,0.496580482580046
"abditus",2,0.486866768908688,1,0.164741931763892,1,0.0960125968527071,0,0,0,0,0,0,3,2.60597637248089,0,0,0,0,0.531988866203798
"abdo",6,1.46060030672606,0,0,4,0.384050387410828,1,0.264977874347492,1,0.84125515268781,1,0.848248367121893,2,1.73731758165393,1,1.93050193050193,0,0,0.405179234360864
"abduco",3,0.730300153363032,11,1.81216124940281,9,0.864113371674364,0,0,0,0,0,0,0,0,0,0,0,0,0.298129713337452
"abeo",2,0.486866768908688,9,1.48267738587503,10,0.960125968527071,2,0.529955748694984,4,3.36502061075124,7,5.93773856985325,4,3.47463516330785,2,3.86100386100386,10,22.4668613794653,0.384643333760845
"abicio",2,0.486866768908688,3,0.494225795291676,17,1.63221414649602,9,2.38480086912743,1,0.84125515268781,0,0,0,0,0,0,0,0,0.320657966799658
"abiuro",1,0.243433384454344,0,0,0,0,1,0.264977874347492,0,0,0,0,0,0,0,0,0,0,0.726792170293007
"abnuo",1,0.243433384454344,0,0,1,0.0960125968527071,0,0,0,0,0,0,1,0.868658790826963,0,0,0,0,0.484369818584751
"Aborigines",1,0.243433384454344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857607343036698
"abscido",1,0.243433384454344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857607343036698
"absimilis",1,0.243433384454344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857607343036698
"absoluo",2,0.486866768908688,1,0.164741931763892,18,1.72822674334873,16,4.23964598955987,0,0,1,0.848248367121893,1,0.868658790826963,0,0,0,0,0.379952838594529
"abstinentia",2,0.486866768908688,0,0,3,0.288037790558121,7,1.85484512043244,0,0,0,0,0,0,0,0,0,0,0.476792170293007
"abstineo",2,0.486866768908688,3,0.494225795291676,5,0.480062984263535,3,0.794933623042476,0,0,0,0,0,0,0,0,0,0,0.155356666239155
"abstraho",1,0.243433384454344,1,0.164741931763892,4,0.384050387410828,0,0,0,0,1,0.848248367121893,0,0,0,0,0,0,0.312858980002842
"absum",33,8.03330168699335,21,3.45958056704173,54,5.18468023004618,21,5.56453536129733,7,5.88878606881467,2,1.69649673424379,2,1.73731758165393,1,1.93050193050193,0,0,0.140164088356948
"absurdus",2,0.486866768908688,3,0.494225795291676,1,0.0960125968527071,2,0.529955748694984,0,0,0,0,0,0,0,0,0,0,0.391383526695807
"abunde",2,0.486866768908688,2,0.329483863527784,0,0,1,0.264977874347492,1,0.84125515268781,0,0,0,0,0,0,0,0,0.475179468336967
"abundo",1,0.243433384454344,4,0.658967727055567,1,0.0960125968527071,2,0.529955748694984,0,0,1,0.848248367121893,0,0,0,0,0,0,0.395689601716826
"abutor",1,0.243433384454344,0,0,3,0.288037790558121,1,0.264977874347492,0,0,0,0,0,0,0,0,0,0,0.365765309836355
"accedo",18,4.38180092017819,39,6.42493533879178,35,3.36044088984475,22,5.82951323564482,0,0,2,1.69649673424379,1,0.868658790826963,3,5.79150579150579,2,4.49337227589306,0.1715240598181
