"lemma","I a.C._Freq","I a.C._NormFreq","I d.C._Freq","I d.C._NormFreq","II d.C._Freq","II d.C._NormFreq","IV d.C._Freq","IV d.C._NormFreq","period_DP"
"_",890,41.4242494763789,2081,318.341746978736,104,272.251308900524,13,29.2069197933049,0.46774354860398
"a",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"ab",1745,81.2194554340237,238,36.4081382897354,32,83.7696335078534,31,69.6472702763424,0.110545364048604
"abacus",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
"abalenatus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"abalieno",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
"Abas",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"abauus",1,0.0465441005352572,1,0.152975370965275,0,0,0,0,0.273407142683827
"Abdera2",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"abdico",5,0.232720502676286,0,0,0,0,0,0,0.255262729166594
"abditus",3,0.139632301605771,4,0.611901483861098,0,0,0,0,0.344835714112399
"abdo",13,0.605073306958343,3,0.458926112895824,0,0,0,0,0.0677627291665944
"abduco",12,0.558529206423086,10,1.52975370965275,1,2.61780104712042,0,0,0.238426697961944
"abeo",21,0.9774261112404,19,2.90653204834022,0,0,10,22.4668613794653,0.337978585120506
"aberro",3,0.139632301605771,1,0.152975370965275,0,0,0,0,0.0286698718504217
"abhorreo",13,0.605073306958343,0,0,0,0,0,0,0.255262729166594
"abicio",30,1.39632301605771,2,0.305950741930549,0,0,0,0,0.192762729166594
"abiecte",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"abiectus",4,0.186176402141029,0,0,0,0,0,0,0.255262729166594
"abiudico",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"abiungo",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"abiuro",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
"ablego",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"abnego",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"abnuo",1,0.0465441005352572,1,0.152975370965275,1,2.61780104712042,0,0,0.426832495063393
"aboleo",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"Aborigines",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"abortiuus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"abripio",6,0.279264603211543,1,0.152975370965275,0,0,0,0,0.112405586309452
"abrogatio",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"abrogo",13,0.605073306958343,1,0.152975370965275,0,0,0,0,0.183834157738023
"abrumpo",1,0.0465441005352572,5,0.764876854826373,0,0,0,0,0.606740476017161
"abscido",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"abscindo",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
"absconditus",2,0.0930882010705143,0,0,0,0,1,2.24668613794653,0.317904775770012
"absens",8,0.372352804282057,1,0.152975370965275,0,0,0,0,0.144151618055483
"absimilis",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"absisto",2,0.0930882010705143,1,0.152975370965275,0,0,0,0,0.106740476017161
"absoluo",36,1.67558761926926,3,0.458926112895824,0,0,0,0,0.178339652243518
"absolutio",4,0.186176402141029,0,0,0,0,0,0,0.255262729166594
"absque",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"abstergeo",2,0.0930882010705143,2,0.305950741930549,0,0,0,0,0.273407142683827
"absterreo",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"abstinentia",12,0.558529206423086,0,0,0,0,0,0,0.255262729166594
"abstineo",9,0.418896904817314,3,0.458926112895824,1,2.61780104712042,0,0,0.0678581360890341
"abstraho",6,0.279264603211543,1,0.152975370965275,0,0,0,0,0.112405586309452
"absum",122,5.67838026530137,18,2.75355667737494,1,2.61780104712042,0,0,0.120510956116949
"absumo",1,0.0465441005352572,2,0.305950741930549,0,0,0,0,0.440073809350494
"absurde",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"absurdus",8,0.372352804282057,0,0,0,0,0,0,0.255262729166594
"abundans",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"abundantia",3,0.139632301605771,0,0,0,0,0,0,0.255262729166594
"abunde",5,0.232720502676286,1,0.152975370965275,0,0,0,0,0.0885960624999278
