ref,sent_id
B.Afr.1.1.1,BAfr-A-05-1
B.Afr.1.1.1,BAfr-A-05-2
B.Afr.1.1.2,BAfr-A-05-3
B.Afr.1.1.3,BAfr-A-05-4
B.Afr.1.1.3,BAfr-A-05-5
B.Afr.1.1.4,BAfr-A-05-6
B.Afr.1.1.5,BAfr-A-05-7
B.Afr.1.2.1,BAfr-A-05-8
B.Afr.1.2.2,BAfr-A-05-9
B.Afr.1.2.4,BAfr-A-05-10
B.Afr.1.2.5,BAfr-A-05-11
B.Afr.1.2.5,BAfr-A-05-12
B.Afr.1.2.6,BAfr-A-05-13
B.Afr.1.3.1,BAfr-A-05-14
B.Afr.1.3.2,BAfr-A-05-15
B.Afr.1.3.3,BAfr-A-05-16
B.Afr.1.3.4,BAfr-A-05-17
B.Afr.1.3.5,BAfr-A-05-18
B.Afr.1.4.1,BAfr-A-05-19
B.Afr.1.4.2,BAfr-A-05-20
B.Afr.1.4.3,BAfr-A-05-21
B.Afr.1.4.3,BAfr-A-05-22
B.Afr.1.4.4,BAfr-A-05-23
B.Afr.1.4.4,BAfr-A-05-24
B.Afr.1.5.1,BAfr-A-05-25
B.Afr.1.6.1,BAfr-A-05-26
B.Afr.1.6.2,BAfr-A-05-27
B.Afr.1.6.3,BAfr-A-05-28
B.Afr.1.6.4,BAfr-A-05-29
B.Afr.1.6.5,BAfr-A-05-30
B.Afr.1.6.6,BAfr-A-05-31
B.Afr.1.6.7,BAfr-A-05-32
B.Afr.1.6.7,BAfr-A-05-33
B.Afr.1.7.1,BAfr-A-05-34
B.Afr.1.7.1,BAfr-A-05-35
B.Afr.1.7.2,BAfr-A-05-36
B.Afr.1.7.3,BAfr-A-05-37
B.Afr.1.7.4,BAfr-A-05-38
B.Afr.1.7.5,BAfr-A-05-39
B.Afr.1.7.6,BAfr-A-05-40
B.Afr.1.8.1,BAfr-A-05-41
B.Afr.1.8.2,BAfr-A-05-42
B.Afr.1.8.3,BAfr-A-05-43
B.Afr.1.8.4,BAfr-A-05-44
B.Afr.1.8.5,BAfr-A-05-45
B.Afr.1.9.1,BAfr-A-05-46
B.Afr.1.9.2,BAfr-A-05-47
B.Afr.1.9.2,BAfr-A-05-48
B.Afr.1.10.1,BAfr-A-05-49
B.Afr.1.10.1,BAfr-A-05-50
B.Afr.1.10.2,BAfr-A-05-51
B.Afr.1.10.3,BAfr-A-05-52
B.Afr.1.10.4,BAfr-A-05-53
B.Afr.1.11.1,BAfr-A-05-54
B.Afr.1.11.2,BAfr-A-05-55
B.Afr.1.11.3,BAfr-A-05-56
B.Afr.1.11.4,BAfr-A-05-57
B.Afr.1.12.1,BAfr-A-05-58
B.Afr.1.12.1,BAfr-A-05-59
B.Afr.1.12.2,BAfr-A-05-60
B.Afr.1.12.3,BAfr-A-05-61
B.Afr.1.13.1,BAfr-A-05-62
B.Afr.1.13.2,BAfr-A-05-63
B.Afr.1.14.1,BAfr-A-05-64
B.Afr.1.14.2,BAfr-A-05-65
B.Afr.1.14.2,BAfr-A-05-66
B.Afr.1.14.3,BAfr-A-05-67
B.Afr.1.14.3,BAfr-A-05-68
B.Afr.1.15.1,BAfr-A-05-69
B.Afr.1.15.2,BAfr-A-05-70
B.Afr.1.15.3,BAfr-A-05-71
B.Afr.1.16.1,BAfr-A-05-72
B.Afr.1.16.1,BAfr-A-05-73
B.Afr.1.16.1,BAfr-A-05-74
B.Afr.1.16.2,BAfr-A-05-75
B.Afr.1.16.2,BAfr-A-05-76
B.Afr.1.16.2,BAfr-A-05-77
B.Afr.1.16.3,BAfr-A-05-78
B.Afr.1.16.4,BAfr-A-05-79
B.Afr.1.17.1,BAfr-A-05-80
B.Afr.1.17.1,BAfr-A-05-81
B.Afr.1.17.2,BAfr-A-05-82
B.Afr.1.18.1,BAfr-A-05-83
B.Afr.1.18.2,BAfr-A-05-84
B.Afr.1.18.3,BAfr-A-05-85
B.Afr.1.18.4,BAfr-A-05-86
B.Afr.1.18.5,BAfr-A-05-87
B.Afr.1.18.5,BAfr-A-05-88
B.Afr.1.19.1,BAfr-A-05-89
B.Afr.1.19.2,BAfr-A-05-90
B.Afr.1.19.4,BAfr-A-05-91
B.Afr.1.19.4,BAfr-A-05-92
B.Afr.1.20.1,BAfr-A-05-93
B.Afr.1.20.4,BAfr-A-05-94
B.Afr.1.21.1,BAfr-A-05-95
B.Afr.1.21.1,BAfr-A-05-96
B.Afr.1.21.1,BAfr-A-05-97
B.Afr.1.21.2,BAfr-A-05-98
B.Afr.1.21.3,BAfr-A-05-99
B.Afr.1.21.3,BAfr-A-05-100
B.Afr.1.21.4,BAfr-A-05-101
B.Afr.1.22.1,BAfr-A-05-102
B.Afr.1.22.2,BAfr-A-05-103
B.Afr.1.22.3,BAfr-A-05-104
B.Afr.1.22.4,BAfr-A-05-105
B.Afr.1.22.5,BAfr-A-05-106
B.Afr.1.23.1,BAfr-A-05-107
B.Afr.1.23.1,BAfr-A-05-108
B.Afr.1.23.2,BAfr-A-05-109
B.Afr.1.23.3,BAfr-A-05-110
B.Afr.1.24.1,BAfr-A-05-111
B.Afr.1.24.2,BAfr-A-05-112
B.Afr.1.24.2,BAfr-A-05-113
B.Afr.1.24.3,BAfr-A-05-114
B.Afr.1.24.3,BAfr-A-05-115
B.Afr.1.24.4,BAfr-A-05-116
B.Afr.1.25.1,BAfr-A-05-117
B.Afr.1.25.1,BAfr-A-05-118
B.Afr.1.25.2,BAfr-A-05-119
B.Afr.1.25.3,BAfr-A-05-120
B.Afr.1.25.3,BAfr-A-05-121
B.Afr.1.25.4,BAfr-A-05-122
B.Afr.1.25.5,BAfr-A-05-123
B.Afr.1.26.1,BAfr-A-05-124
B.Afr.1.26.2,BAfr-A-05-125
B.Afr.1.26.3,BAfr-A-05-126
B.Afr.1.26.4,BAfr-A-05-127
B.Afr.1.26.5,BAfr-A-05-128
B.Afr.1.26.6,BAfr-A-05-129
B.Afr.1.27.1,BAfr-A-05-130
B.Afr.1.27.1,BAfr-A-05-131
B.Afr.1.27.2,BAfr-A-05-132
B.Afr.1.28.1,BAfr-A-05-133
B.Afr.1.28.2,BAfr-A-05-134
B.Afr.1.28.3,BAfr-A-05-135
B.Afr.1.28.3,BAfr-A-05-136
B.Afr.1.28.4,BAfr-A-05-137
B.Afr.1.29.1,BAfr-A-05-138
B.Afr.1.29.1,BAfr-A-05-139
B.Afr.1.29.2,BAfr-A-05-140
B.Afr.1.29.2,BAfr-A-05-141
B.Afr.1.29.3,BAfr-A-05-142
B.Afr.1.29.3,BAfr-A-05-143
B.Afr.1.30.1,BAfr-A-05-144
B.Afr.1.30.2,BAfr-A-05-145
B.Afr.1.31.1,BAfr-A-05-146
B.Afr.1.31.2,BAfr-A-05-147
B.Afr.1.31.3,BAfr-A-05-148
B.Afr.1.31.4,BAfr-A-05-149
B.Afr.1.31.5,BAfr-A-05-150
B.Afr.1.31.6,BAfr-A-05-151
B.Afr.1.31.7,BAfr-A-05-152
B.Afr.1.31.8,BAfr-A-05-153
B.Afr.1.31.9,BAfr-A-05-154
B.Afr.1.31.10,BAfr-A-05-155
B.Afr.1.32.1,BAfr-A-05-156
B.Afr.1.32.2,BAfr-A-05-157
B.Afr.1.32.3,BAfr-A-05-158
B.Afr.1.32.4,BAfr-A-05-159
B.Afr.1.33.1,BAfr-A-05-160
B.Afr.1.33.2,BAfr-A-05-161
B.Afr.1.33.3,BAfr-A-05-162
B.Afr.1.33.4,BAfr-A-05-163
B.Afr.1.33.5,BAfr-A-05-164
B.Afr.1.34.1,BAfr-A-05-165
B.Afr.1.34.2,BAfr-A-05-166
B.Afr.1.34.3,BAfr-A-05-167
B.Afr.1.34.4,BAfr-A-05-168
B.Afr.1.34.5,BAfr-A-05-169
B.Afr.1.34.6,BAfr-A-05-170
B.Afr.1.35.1,BAfr-A-05-171
B.Afr.1.35.2,BAfr-A-05-172
B.Afr.1.35.3,BAfr-A-05-173
B.Afr.1.35.4,BAfr-A-05-174
B.Afr.1.35.4,BAfr-A-05-175
B.Afr.1.35.4,BAfr-A-05-176
B.Afr.1.35.5,BAfr-A-05-177
B.Afr.1.35.6,BAfr-A-05-178
B.Afr.1.36.1,BAfr-A-05-179
B.Afr.1.36.2,BAfr-A-05-180
B.Afr.1.36.3,BAfr-A-05-181
B.Afr.1.36.4,BAfr-A-05-182
B.Afr.1.37.1,BAfr-A-05-183
B.Afr.1.37.2,BAfr-A-05-184
B.Afr.1.37.3,BAfr-A-05-185
B.Afr.1.37.4,BAfr-A-05-186
B.Afr.1.37.5,BAfr-A-05-187
B.Afr.1.38.1,BAfr-A-05-188
B.Afr.1.38.3,BAfr-A-05-189
B.Afr.1.39.1,BAfr-A-05-190
B.Afr.1.39.2,BAfr-A-05-191
B.Afr.1.39.3,BAfr-A-05-192
B.Afr.1.39.4,BAfr-A-05-193
B.Afr.1.39.5,BAfr-A-05-194
B.Afr.1.40.1,BAfr-A-05-195
B.Afr.1.40.1,BAfr-A-05-196
B.Afr.1.40.2,BAfr-A-05-197
B.Afr.1.40.2,BAfr-A-05-198
B.Afr.1.40.3,BAfr-A-05-199
B.Afr.1.40.4,BAfr-A-05-200
B.Afr.1.40.5,BAfr-A-05-201
B.Afr.1.40.6,BAfr-A-05-202
B.Afr.1.41.1,BAfr-A-05-203
B.Afr.1.41.1,BAfr-A-05-204
B.Afr.1.41.2,BAfr-A-05-205
B.Afr.1.41.2,BAfr-A-05-206
B.Afr.1.41.3,BAfr-A-05-207
B.Afr.1.42.1,BAfr-A-05-208
B.Afr.1.42.2,BAfr-A-05-209
B.Afr.1.43.1,BAfr-A-05-210
B.Afr.1.44.1,BAfr-A-05-211
B.Afr.1.44.2,BAfr-A-05-212
B.Afr.1.44.3,BAfr-A-05-213
B.Afr.1.44.4,BAfr-A-05-214
B.Afr.1.44.4,BAfr-A-05-215
B.Afr.1.45.1,BAfr-A-05-216
B.Afr.1.45.2,BAfr-A-05-217
B.Afr.1.45.3,BAfr-A-05-218
B.Afr.1.45.4,BAfr-A-05-219
B.Afr.1.45.4,BAfr-A-05-220
B.Afr.1.45.5,BAfr-A-05-221
B.Afr.1.45.5,BAfr-A-05-222
B.Afr.1.46.1,BAfr-A-05-223
B.Afr.1.46.2,BAfr-A-05-224
B.Afr.1.46.2,BAfr-A-05-225
B.Afr.1.46.3,BAfr-A-05-226
B.Afr.1.46.4,BAfr-A-05-227
B.Afr.1.47.1,BAfr-A-05-228
B.Afr.1.47.1,BAfr-A-05-229
B.Afr.1.47.2,BAfr-A-05-230
B.Afr.1.47.3,BAfr-A-05-231
B.Afr.1.47.4,BAfr-A-05-232
B.Afr.1.47.5,BAfr-A-05-233
B.Afr.1.47.6,BAfr-A-05-234
B.Afr.1.47.6,BAfr-A-05-235
B.Afr.1.48.1,BAfr-A-05-236
B.Afr.1.48.2,BAfr-A-05-237
B.Afr.1.48.3,BAfr-A-05-238
B.Afr.1.48.3,BAfr-A-05-239
B.Afr.1.48.3,BAfr-A-05-240
B.Afr.1.48.4,BAfr-A-05-241
B.Afr.1.48.5,BAfr-A-05-242
B.Afr.1.49.1,BAfr-A-05-243
B.Afr.1.49.1,BAfr-A-05-244
B.Afr.1.49.2,BAfr-A-05-245
B.Afr.1.50.1,BAfr-A-05-246
B.Afr.1.50.1,BAfr-A-05-247
B.Afr.1.50.2,BAfr-A-05-248
B.Afr.1.50.3,BAfr-A-05-249
B.Afr.1.50.4,BAfr-A-05-250
B.Afr.1.50.4,BAfr-A-05-251
B.Afr.1.50.4,BAfr-A-05-252
B.Afr.1.51.1,BAfr-A-05-253
B.Afr.1.51.2,BAfr-A-05-254
B.Afr.1.51.3,BAfr-A-05-255
B.Afr.1.51.4,BAfr-A-05-256
B.Afr.1.51.5,BAfr-A-05-257
B.Afr.1.51.6,BAfr-A-05-258
B.Afr.1.52.1,BAfr-A-05-259
B.Afr.1.52.2,BAfr-A-05-260
B.Afr.1.52.3,BAfr-A-05-261
B.Afr.1.52.4,BAfr-A-05-262
B.Afr.1.52.5,BAfr-A-05-263
B.Afr.1.52.5,BAfr-A-05-264
B.Afr.1.53.1,BAfr-A-05-265
B.Afr.1.54.1,BAfr-A-05-266
B.Afr.1.54.3,BAfr-A-05-267
B.Afr.1.54.4,BAfr-A-05-268
B.Afr.1.54.4,BAfr-A-05-269
B.Afr.1.54.5,BAfr-A-05-270
B.Afr.1.54.5,BAfr-A-05-271
B.Afr.1.55.1,BAfr-A-05-272
B.Afr.1.55.1,BAfr-A-05-273
B.Afr.1.55.2,BAfr-A-05-274
B.Afr.1.56.1,BAfr-A-05-275
B.Afr.1.56.2,BAfr-A-05-276
B.Afr.1.56.3,BAfr-A-05-277
B.Afr.1.56.3,BAfr-A-05-278
B.Afr.1.57.1,BAfr-A-05-279
B.Afr.1.57.2,BAfr-A-05-280
B.Afr.1.57.2,BAfr-A-05-281
B.Afr.1.57.3,BAfr-A-05-282
B.Afr.1.57.3,BAfr-A-05-283
B.Afr.1.57.4,BAfr-A-05-284
B.Afr.1.57.5,BAfr-A-05-285
B.Afr.1.57.6,BAfr-A-05-286
B.Afr.1.58.1,BAfr-A-05-287
B.Afr.1.58.2,BAfr-A-05-288
B.Afr.1.58.3,BAfr-A-05-289
B.Afr.1.58.4,BAfr-A-05-290
B.Afr.1.58.5,BAfr-A-05-291
B.Afr.1.59.1,BAfr-A-05-292
B.Afr.1.59.1,BAfr-A-05-293
B.Afr.1.59.3,BAfr-A-05-294
