lila_id,lemma
lilaLemma:114147,nescioqui
lilaLemma:100950,emem
lilaLemma:114148,nescioquis
lilaLemma:135908,tumetipse
lilaLemma:131105,unumquicquid
lilaLemma:81905,sta
lilaLemma:32322,as2
lilaLemma:121165,quis
lilaLemma:136268,quid
lilaLemma:112361,min
lilaLemma:38863,cantus2
lilaLemma:121354,qui
lilaLemma:28787,alequi
lilaLemma:49335,eopse
lilaLemma:131317,egoipse
lilaLemma:131318,egometipse
lilaLemma:121306,quotusquisque
lilaLemma:114152,nonnemo
lilaLemma:114153,nonnemo2
lilaLemma:102597,ecqui
lilaLemma:102598,ecquinam
lilaLemma:114154,nonnihil
lilaLemma:91103,aliquilibet
lilaLemma:102599,ecquisnam
lilaLemma:91104,aliquispiam
lilaLemma:91106,aliquisuis
lilaLemma:91107,aliquicumque
lilaLemma:91108,aliquis
lilaLemma:62844,lui
lilaLemma:65554,mi2
lilaLemma:114169,nequis
lilaLemma:127505,siquis
lilaLemma:82173,ste
lilaLemma:100712,ego
lilaLemma:121315,quisquam
lilaLemma:102600,ecquis
lilaLemma:114161,nullusdum
lilaLemma:62548,lo2
lilaLemma:80950,siui
lilaLemma:123932,se
lilaLemma:131255,sui
lilaLemma:135878,sibe
lilaLemma:113605,nemo
lilaLemma:131431,seipse
lilaLemma:131432,semetipse
lilaLemma:114170,numquis
lilaLemma:97145,cuias
lilaLemma:129131,tu
lilaLemma:91087,aliqui
lilaLemma:131029,utercumque
lilaLemma:65563,michi
lilaLemma:121334,quisnam
lilaLemma:121321,quinam
lilaLemma:121322,quisquis
lilaLemma:121323,qualislibet
lilaLemma:121274,quirquir
lilaLemma:121325,qualisqualis
lilaLemma:121276,quisquislibet
lilaLemma:74868,quorsumlibet2
lilaLemma:114071,nihil
lilaLemma:142082,sapsa
lilaIpoLemma:110487,nos
lilaIpoLemma:110488,uos
lilaLemma:121330,quantusquantus
lilaLemma:65472,metipsi
lilaLemma:142193,seipsum
lilaLemma:142194,sibiipsi
lilaLemma:142197,suiipsius
lilaLemma:50053,esso
lilaLemma:139987,hicine
lilaLemma:139988,numquisnam
lilaLemma:139989,unusquisquis
lilaLemma:58416,im
lilaLemma:170230,NA
lilaLemma:160338,altercumque
lilaLemma:160339,il2
lilaLemma:158283,aliquisquam
lilaLemma:158284,nosmetipsi
