"headword","filenaming"
"ab","_xx97-98xx_"
"abeo","_xx97-98-101-111xx_"
"absum","_xx97-98-115-117-109xx_"
"accedo","_xx97-99-99-101-100-111xx_"
"accido","_xx97-99-99-105-100-111xx_"
"accipio","_xx97-99-99-105-112-105-111xx_"
"acer","_xx97-99-101-114xx_"
"acies","_xx97-99-105-101-115xx_"
"ad","_xx97-100xx_"
"addo","_xx97-100-100-111xx_"
"adduco","_xx97-100-100-117-99-111xx_"
"adeo","_xx97-100-101-111xx_"
"adeo2","_xx97-100-101-111-50xx_"
"adhibeo","_xx97-100-104-105-98-101-111xx_"
"adhuc","_xx97-100-104-117-99xx_"
"adsum","_xx97-100-115-117-109xx_"
"aduenio","_xx97-100-117-101-110-105-111xx_"
"aduersus","_xx97-100-117-101-114-115-117-115xx_"
"aduersus2","_xx97-100-117-101-114-115-117-115-50xx_"
"aduersus3","_xx97-100-117-101-114-115-117-115-51xx_"
"aduerto","_xx97-100-117-101-114-116-111xx_"
"aedes","_xx97-101-100-101-115xx_"
"aeger","_xx97-101-103-101-114xx_"
"aegre","_xx97-101-103-114-101xx_"
"aeque","_xx97-101-113-117-101xx_"
"aequor","_xx97-101-113-117-111-114xx_"
"aequus","_xx97-101-113-117-117-115xx_"
"aer","_xx97-101-114xx_"
"aes","_xx97-101-115xx_"
"aetas","_xx97-101-116-97-115xx_"
"aeternus","_xx97-101-116-101-114-110-117-115xx_"
"aether","_xx97-101-116-104-101-114xx_"
"aeuum","_xx97-101-117-117-109xx_"
"affero","_xx97-102-102-101-114-111xx_"
"afficio","_xx97-102-102-105-99-105-111xx_"
"ager","_xx97-103-101-114xx_"
"agito","_xx97-103-105-116-111xx_"
"agmen","_xx97-103-109-101-110xx_"
"ago","_xx97-103-111xx_"
"aio","_xx97-105-111xx_"
"albus","_xx97-108-98-117-115xx_"
"alienus","_xx97-108-105-101-110-117-115xx_"
"aliquando","_xx97-108-105-113-117-97-110-100-111xx_"
"aliquis","_xx97-108-105-113-117-105-115xx_"
"aliter","_xx97-108-105-116-101-114xx_"
"alius","_xx97-108-105-117-115xx_"
"alo","_xx97-108-111xx_"
"alter","_xx97-108-116-101-114xx_"
"altus","_xx97-108-116-117-115xx_"
"amicitia","_xx97-109-105-99-105-116-105-97xx_"
"amicus","_xx97-109-105-99-117-115xx_"
"amicus2","_xx97-109-105-99-117-115-50xx_"
"amitto","_xx97-109-105-116-116-111xx_"
"amnis","_xx97-109-110-105-115xx_"
"amo","_xx97-109-111xx_"
"amor","_xx97-109-111-114xx_"
"amplus","_xx97-109-112-108-117-115xx_"
"an","_xx97-110xx_"
